Product Id,Price,MRP,Gender,Product Name,Status,Weight,thumbnail,Color,Material,Type,Sole Material,,,
31966917,1349,4499,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035663751D97/2.jpg,Yellow,Patent Leather,Heels,Resin Sheet,,,
31966918,1800,4499,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203565765C340/2.jpg,Yellow,Patent Leather,,Resin Sheet,,,
31966919,1720,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356E4560BF5/2.jpg,Yellow,Patent Leather,,Resin Sheet,,,
31966920,1289,4299,Women,Adriana & Gabriella Yellow Heels,Active,1200,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356A1278772/2.jpg,Yellow,Patent Leather,Heels,Resin Sheet,,,
31966921,1289,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356E61D485D/2.jpg,Yellow,Patent Leather,Heels,Resin Sheet,,,
31966922,1289,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356A36CC4DA/2.jpg,Yellow,Patent Leather,Heels,Resin Sheet,,,
31966923,1289,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035621BD15CA/2.jpg,Yellow,Patent Leather,Heels,Resin Sheet,,,
31966924,1289,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035664CC994D/2.jpg,Yellow,Patent Leather,Heels,Resin Sheet,,,
31966925,1319,4399,Women,Adriana & Gabriella Green Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356E2E1879B/10.jpg,Green,Synthetic Leather,Wedges,Resin Sheet,,,
31966926,1319,4399,Women,Adriana & Gabriella Green Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203564E859CC/10.jpg,Green,Synthetic Leather,Wedges,Resin Sheet,,,
31966927,1319,4399,Women,Adriana & Gabriella Green Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035686CCA316/10.jpg,Green,Synthetic Leather,Wedges,Resin Sheet,,,
31966928,1319,4399,Women,Adriana & Gabriella Green Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035660C57D41/10.jpg,Green,Synthetic Leather,Wedges,Resin Sheet,,,
31966929,1319,4399,Women,Adriana & Gabriella Green Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203567F4822D6/10.jpg,Green,Synthetic Leather,Wedges,Resin Sheet,,,
31966930,1319,4399,Women,Adriana & Gabriella Green Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203569941FC81/10.jpg,Green,Synthetic Leather,Wedges,Resin Sheet,,,
31966931,1289,4299,Women,Adriana & Gabriella Yellow Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203569BB94230/10.jpg,Yellow,Synthetic Leather,Sandals,Resin Sheet,,,
31966932,1289,4299,Women,Adriana & Gabriella Yellow Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035679EDCAD8/10.jpg,Yellow,Synthetic Leather,Sandals,Resin Sheet,,,
31966933,1289,4299,Women,Adriana & Gabriella Yellow Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356C4B124C7/10.jpg,Yellow,Synthetic Leather,Sandals,Resin Sheet,,,
